{'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_ENVIRON': "environ({'SHELL': '/bin/tcsh', 'GROUP': 'sali', 'MACHTYPE': 'x86_64', 'HOSTNAME': 'flute.ucsf.edu', 'WISECONFIGDIR': '/usr/share/wise2/', 'MANPATH_modshare': ':1', 'PWD': '/home/saltzberg//projects/imp_tutorial_sampcon/imp_analysis_tutorial/rnapolii/modeling', 'LOGNAME': 'saltzberg', 'XDG_SESSION_TYPE': 'tty', 'QTLIB': '/usr/lib64/qt-3.3/lib', 'MODULESHOME': '/usr/share/Modules', 'MANPATH': '', 'IMOD_CALIB_DIR': '/usr/local/ImodCalib', 'HOME': '/home/saltzberg/', 'LANG': 'en_US.UTF-8', 'HEX_VERSION': '6d', 'LD_LIBRARY_PATH_modshare': '/usr/local/IMOD/lib:1', 'LS_COLORS': 'ex=32;1:bd=33;1:di=34;1:ln=36;1:*.tar=31;1:*.gz=31;1:*.bz=31;1:*.bz2=31;1:*.rpm=35;1:*.tif=33;1:*.tiff=33;1', 'IMOD_DIR': '/usr/local/IMOD', 'OSTYPE': 'linux', 'IMOD_JAVADIR': '/usr/local/java', 'IMOD_PLUGIN_DIR': '/usr/local/IMOD/lib/imodplug', 'SSH_CONNECTION': '64.72.110.19 49503 169.230.90.42 22', 'QTINC': '/usr/lib64/qt-3.3/include', 'FOR_DISABLE_STACK_TRACE': '1', 'PATH_modshare': '/usr/sbin:1:/usr/bin:1:/usr/lib64/qt-3.3/bin:1:/usr/local/sbin:1:/usr/share/Modules/bin:1:/usr/local/IMOD/bin:1:/usr/lib64/ccache:1:/usr/local/bin:1', 'MODULEPATH_modshare': '/salilab/diva1/home/modules-py27:1:/usr/share/Modules/modulefiles:1:/etc/modulefiles:1:/usr/share/modulefiles:1', 'XDG_SESSION_CLASS': 'user', 'SELINUX_ROLE_REQUESTED': '', 'TERM': 'xterm-256color', 'HOST': 'flute.ucsf.edu', 'IMOD_QTLIBDIR': '/usr/local/IMOD/qtlib', 'LESSOPEN': '||/usr/bin/lesspipe.sh %s', 'USER': 'saltzberg', 'SELINUX_USE_CURRENT_RANGE': '', 'SHLVL': '1', 'XDG_SESSION_ID': '6', 'R3D_LIB': '/usr/share/Raster3D/materials', 'LD_LIBRARY_PATH': '/usr/local/IMOD/lib', 'XDG_RUNTIME_DIR': '/run/user/11101', 'QTDIR': '/usr/lib64/qt-3.3', 'SSH_CLIENT': '64.72.110.19 49503 22', 'HEX_ROOT': '/usr/lib/hexdock-6.3', 'VENDOR': 'unknown', 'PATH': '/usr/lib64/qt-3.3/bin:/usr/share/Modules/bin:/usr/local/IMOD/bin:/usr/lib64/ccache:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin', 'SELINUX_LEVEL_REQUESTED': '', 'MODULEPATH': '/etc/scl/modulefiles:/salilab/diva1/home/modules-py27:/usr/share/Modules/modulefiles:/etc/modulefiles:/usr/share/modulefiles', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/11101/bus', 'MAIL': '/var/spool/mail/saltzberg', 'SSH_TTY': '/dev/pts/0', 'HOSTTYPE': 'x86_64-linux', 'REMOTEHOST': '64.72.110.19', 'MODULES_USE_COMPAT_VERSION': '0', 'MODULES_CMD': '/usr/share/Modules/libexec/modulecmd.tcl', '_': '/home/saltzberg/swr/anaconda3/bin/python', 'KMP_DUPLICATE_LIB_OK': 'True', 'KMP_INIT_AT_FORK': 'FALSE'})", 'STAT2HEADER_IMP_VERSIONS': "{'IMP_VERSION': '2.13.0', 'PMI_VERSION': '2.13.0'}", 0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_MinTempFrequency', 2: 'ReplicaExchange_MaxTempFrequency', 3: 'ReplicaExchange_CurrentTemp', 4: 'score'} 
{0: '0', 1: '0', 2: '0', 3: '1.5', 4: 430180.3625701091} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 279487.15819841635} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 183552.76578843256} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 111370.54964732566} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 72509.8605303084} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 46279.63207328388} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 30817.191487149255} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 19387.33526809483} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 9197.172260008078} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 4098.4057210404035} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 1403.3734431888756} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 1128.1066586521442} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 872.844878455132} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 790.5758103492636} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 787.6070608491542} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 780.4900582608888} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 776.6147036705404} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 762.9096854056845} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 769.5200932468067} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 773.5192729610769} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 776.6214422615922} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 768.9833522469542} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 765.8418563653175} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 783.9539978030548} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 774.1003790806554} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 775.8419653260156} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 782.654771586305} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 773.9870142064581} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 768.786344070729} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 762.7888232109718} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 766.2527153445463} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 760.9460572016551} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 758.7110715611254} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 767.056918529419} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 765.325111178281} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 762.4739626586827} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 765.0400035359557} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 758.9134815033465} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 756.181433941748} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 767.7786737315137} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 783.3557436188278} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 785.2765108907531} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 747.8875320152351} 
