{'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_ENVIRON': "environ({'SHELL': '/bin/tcsh', 'GROUP': 'sali', 'MACHTYPE': 'x86_64', 'HOSTNAME': 'flute.ucsf.edu', 'WISECONFIGDIR': '/usr/share/wise2/', 'MANPATH_modshare': ':1', 'PWD': '/home/saltzberg//projects/imp_tutorial_sampcon/imp_analysis_tutorial/rnapolii/modeling', 'LOGNAME': 'saltzberg', 'XDG_SESSION_TYPE': 'tty', 'QTLIB': '/usr/lib64/qt-3.3/lib', 'MODULESHOME': '/usr/share/Modules', 'MANPATH': '', 'IMOD_CALIB_DIR': '/usr/local/ImodCalib', 'HOME': '/home/saltzberg/', 'LANG': 'en_US.UTF-8', 'HEX_VERSION': '6d', 'LD_LIBRARY_PATH_modshare': '/usr/local/IMOD/lib:1', 'LS_COLORS': 'ex=32;1:bd=33;1:di=34;1:ln=36;1:*.tar=31;1:*.gz=31;1:*.bz=31;1:*.bz2=31;1:*.rpm=35;1:*.tif=33;1:*.tiff=33;1', 'IMOD_DIR': '/usr/local/IMOD', 'OSTYPE': 'linux', 'IMOD_JAVADIR': '/usr/local/java', 'IMOD_PLUGIN_DIR': '/usr/local/IMOD/lib/imodplug', 'SSH_CONNECTION': '64.72.110.19 49503 169.230.90.42 22', 'QTINC': '/usr/lib64/qt-3.3/include', 'FOR_DISABLE_STACK_TRACE': '1', 'PATH_modshare': '/usr/sbin:1:/usr/bin:1:/usr/lib64/qt-3.3/bin:1:/usr/local/sbin:1:/usr/share/Modules/bin:1:/usr/local/IMOD/bin:1:/usr/lib64/ccache:1:/usr/local/bin:1', 'MODULEPATH_modshare': '/salilab/diva1/home/modules-py27:1:/usr/share/Modules/modulefiles:1:/etc/modulefiles:1:/usr/share/modulefiles:1', 'XDG_SESSION_CLASS': 'user', 'SELINUX_ROLE_REQUESTED': '', 'TERM': 'xterm-256color', 'HOST': 'flute.ucsf.edu', 'IMOD_QTLIBDIR': '/usr/local/IMOD/qtlib', 'LESSOPEN': '||/usr/bin/lesspipe.sh %s', 'USER': 'saltzberg', 'SELINUX_USE_CURRENT_RANGE': '', 'SHLVL': '1', 'XDG_SESSION_ID': '6', 'R3D_LIB': '/usr/share/Raster3D/materials', 'LD_LIBRARY_PATH': '/usr/local/IMOD/lib', 'XDG_RUNTIME_DIR': '/run/user/11101', 'QTDIR': '/usr/lib64/qt-3.3', 'SSH_CLIENT': '64.72.110.19 49503 22', 'HEX_ROOT': '/usr/lib/hexdock-6.3', 'VENDOR': 'unknown', 'PATH': '/usr/lib64/qt-3.3/bin:/usr/share/Modules/bin:/usr/local/IMOD/bin:/usr/lib64/ccache:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin', 'SELINUX_LEVEL_REQUESTED': '', 'MODULEPATH': '/etc/scl/modulefiles:/salilab/diva1/home/modules-py27:/usr/share/Modules/modulefiles:/etc/modulefiles:/usr/share/modulefiles', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/11101/bus', 'MAIL': '/var/spool/mail/saltzberg', 'SSH_TTY': '/dev/pts/0', 'HOSTTYPE': 'x86_64-linux', 'REMOTEHOST': '64.72.110.19', 'MODULES_USE_COMPAT_VERSION': '0', 'MODULES_CMD': '/usr/share/Modules/libexec/modulecmd.tcl', '_': '/home/saltzberg/swr/anaconda3/bin/python', 'KMP_DUPLICATE_LIB_OK': 'True', 'KMP_INIT_AT_FORK': 'FALSE'})", 'STAT2HEADER_IMP_VERSIONS': "{'IMP_VERSION': '2.13.0', 'PMI_VERSION': '2.13.0'}", 0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_MinTempFrequency', 2: 'ReplicaExchange_MaxTempFrequency', 3: 'ReplicaExchange_CurrentTemp', 4: 'score'} 
{0: '0', 1: '0', 2: '0', 3: '1.5', 4: 538852.6063231158} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 352536.2973859148} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 232774.0944880238} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 152682.01371271265} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 100872.84733178328} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 68452.52588019843} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 43797.21412075094} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 34964.02271614863} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 24653.796053078793} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 21317.159265586553} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 11738.64619209266} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 11653.567285109575} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 7732.122142410288} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 2730.6319925873513} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 1576.4675219178248} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 880.9710264663206} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 728.766587251408} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 695.9367796689352} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 695.5381744317851} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 683.5053199837} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 697.0895320713885} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 686.4986004703424} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 683.7484474040974} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 682.4607312960172} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 682.0519555646224} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 669.467050400203} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 676.4466381274499} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 679.1829513227913} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 666.7807862808435} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 673.8769720833056} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 688.8289069848214} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 689.4328824090899} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 675.4943868809095} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 691.3180706066026} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 688.7506071286493} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 678.8207374685827} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 673.1448299742106} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 679.9490593941078} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 669.4259488018799} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 661.9106802559716} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 674.0840689788591} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 664.4588093638301} 
{0: '0.0', 1: '1.0', 2: '0.0', 3: '1.5', 4: 668.3541078693864} 
